ReviewKey,CheckedAt,Code,Hotel,Author,Rating,RelativeTime,Text
TSB|0027c4ca74,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,No Come No Love,,,ทุกอย่างดีเยี่ยม ห้องพักสวย สะอาด สิ่งอำนวยความสะดวกครบถ้วน พนักงานสุภาพ สิ่งที่ไม่ประทับใจคืออาหารเช้า ที่นี่อาหารเช้าไม่ได้เป็นบุฟเฟ่ มีเมนูให้เลือกเพียง 4-5 อย่าง ไม่มีอาหารสำหรับคนเป็นมังสวิรัติ ถามว่าจะกลับมาพักที่นี่อีกไหม กลับมาค่ะแต่จะไม่จองห้องพร้อมอาหารเช้าเหมือนครั้งนี้
TSB|16ac85e304,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Thanyapong T.,,,เป็นโรงแรมเก่า แต่การดูแลค่อนข้างดี พนักงานบริการเป็นกันเองดีมาก อาหารเช้าธรรมดาแต่อร่อย การเดินทางสะดวก แต่บางช่วงเวลาเส้นพระรามสี่รถติดมากโรงแรมอยู่ที่ไกล้แหล่งท่องเที่ยวกลางคืน สามารถเินทางไปสถานที่ต่างๆได้ครบครัน
TSB|cfccf75924,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Pew Maneechote,,,ทุกอย่างดีเยี่ยม ห้องพักสวย สะอาด สิ่งอำนวยความสะดวกครบถ้วน พนักงานสุภาพ สิ่งที่ไม่ประทับใจคืออาหารเช้า ที่นี่อาหารเช้าไม่ได้เป็นบุฟเฟ่ มีเมนูให้เลือกเพียง 4-5 อย่าง ไม่มีอาหารสำหรับคนเป็นมังสวิรัติ ถามว่าจะกลับมาพักที่นี่อีกไหม กลับมาค่ะแต่จะไม่จองห้องพร้อมอาหารเช้าเหมือนครั้งนี้ หัก 1 ดาวสำหรับอาหารเช้าค่ะ
TSB|584be64fa3,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Sup Nimitr,,,มาจากต่างจว.มาธุระที่ IOM และรพ.กรุงเทพคริสเตียน ค้นหาที่พักก็เจอที่นี่ที่เป็นโรงแรมราคาถูกกว่าที่อื่น อยูถ.สุรวงษ์ทางเข้าติดเซเว่นปากซอยทานตะวัน ห้องเงียบมาก สะอาดไม่มีกลิ่นอะไร  ที่นอนนุ่มมากหลับสบาย พนักงานบริการดีมาก ตอนเช้าออกไปหาของกินซอยพร้อมพงษ์เยอะและถูก จะไป รพ.ก็เดินเข้าซอยทานตะวันไปทะลุซอยสีลม6 เดินต่อไปก็เจอ รพ. เดินต่อไปก็เจอตึกเกษมกิจ IOMอยู่ปากซอยพัฒน์พงษ์2 เดินต่อไปก็เจอBTS ศาลาแดง
TSB|98017b5fcb,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Mr.N,,,โรงแรมดี พนักงานบริการดี ห้องพักมีการรีโนเวทใหม่ มีตู้เย็นและน้ำดื่มให้ มีไดร์เป่าผม มีอ่างอาบน้ำ แต่ระบบเปิดประตูเป็นกุญแจ เดินทางสะดวก แต่ที่จอดรถน้อยมากประมาณ 10 คัน
TSB|50d89a0615,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Jummum michkapuppy,,,ห้องสะอาดกลิ่นก้สะอาดดีมากๆส่วนตัวชอบพื้นห้อง พื้นห้องสะอาดและยังเป็นลามิเนตชอบมากค่ะ ทุกๆอย่างในห้องสะดวกมากค่ะที่สำคัญใกล้ถนนแต่ไม่มีเสียงรบกวนเข้ามาเลย
TSB|55e6fe59bd,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,อัฑฒ์นคร สุขอร่าม,,,ชอบบรรยากาศห้องพักค่ะ สะอาด กว้างขวาง วิวทิวทัศน์ก้อสวยงามน่าอยู่ การบริการดีเยี่ยม ต้องกลับมาใช้บริการอีกแน่นอนค่ะ
TSB|b24d3c9950,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Napat chouwsrikul,,,แอร์เย็น เตียงดี มีฝักบัวกับอ่าง มีน้ำอุ่นให้ แต่มีเสียงจากสักห้องดังนิดหน่อยไม่กระทบอะไร บริการดี เรียบง่าย บรรยากาศเงียบๆ
TSB|caffe14fdc,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,EtใhพWoทร,,,มินิบาร์ในห้องไม่ได้กินน้ำแต่บอกกินจ่ายไปแล้วขี้เกียจมีปัญหา
TSB|ce670b26b3,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Rose Raiseinnovation,,,เลือกพักที่นี่เพราะว่า อยู่ใกล้ที่ทำงาน แต่ห้องที่ได้ แจ้งว่าเป็นวิวเมืองซึ่ง เป็น กำแพง หลังบ้านคนอื่น ห้องน้ำใหญ่มีอ่างอาบน้ำ
TSB|013d65a471,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Janewit Lakhumlek,,,การบริการของพนักงานต้องปรับปรุงตั้งแต่ทางเข้า รปภ. พนักงานต้อนรับ แย่!! ไม่สุภาพทั้งสีหน้าสายตาและคำพูด  ทำให้รู้สึกอึดอัดใจ ไม่เป็นมิตร
TSB|b38105b286,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Erisa Parin,,,ห้องพักสะอาดมากคะพนักงานบริการดีคะ อาหารเช้าอร่อยคะ พนักงาน(พี่ตุ๊กตา)บริการดีมากคะคอยดูแลแนะนำดีคะ
TSB|5dc80383da,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Alisa Amesbutr,,,พักมา2ครั้งแล้ว กำลังจะไปพักอีก บริการดีค่ะ จองใน Agoda ราคาถูกแต่ยังได้ห้องพักที่ได้มาตรฐาน นอนหลับสบายค่ะ
TSB|5ba0bf2119,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,INTIME Tea - time,,,ห้องสวยค่ะ ของตกแต่งน่ารักแบบไทยๆ #intime channel #ช่องหาเงินออนไลน์
TSB|19061fdd1b,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,saeing “อนันสิท” supayachokchia,,,เป็นโรงแรมที่สะดวกสบาย ใกล้แหล่งสถานบันเทิง หากินง่าย
TSB|1fcc633ea8,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Wxid Wxid,,,โรงแรม3ดาวค่ะโรงแรมสะอาดบริการดีพนักงานสุภาพค่ะ😊😊😊😊😊 …
TSB|533cb7f610,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,สุพิชญ์นันท์ พวงเพชร,,,ห้องกว้างสะอาดดีคะ บริการดีโอเคคะ 👍 …
TSB|95cb720b76,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,muk muk,,,ห้องพักสะอาดเงียบดีนอนหลับสะบายคะ
TSB|c3ee1cd996,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,ธนภัทร์ กลิ่นบุบผา,,,บริการดี ห้องสะอาด สงบ เดินทางง่าย
TSB|27ab2f5052,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,K WUDDY,,,ทำเลดี   เดินทางสะดวก​  ไกล้แหล่งท่องเที่ยว​
TSB|df47569be1,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,hello ! Bangkok _thailand2020 channel,,,บริการดีค่ะ.. ห้องพักสะอาด
TSB|c43fb98111,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Papha Insuan,,,ยกเว้นที่จอดรถ ห้องนอน เตียง ฟินนนน
TSB|253eac8c40,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Somkieat,,,ดี
TSB|cd3c02315c,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,JAMES TV 2,,,อาหารเช้าช้าเริ่ม8.00น.
TSB|c97d064a91,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,พิชชาภา ศรียัง,,,ดี
TSB|666ed600f9,2026-06-23 08:59,TSB,The Tantawan Hotel Surawong Bangkok,Cอดุลย์ SCบ้านดุงครับ,,,เยี่ยมมาก
